spaceIndex,spaceId,spaceSymbol,spaceAddress,proposalId,proposalTitle,proposalBody,proposalChoices,proposalStart,proposalStart.1,proposalEnd,proposalSanpshot,proposalAuth,proposalSpace,voteId,voteVoter,voteCreated,voteChoice,voteSpace
3141,409,409,409,409,409,341,409,409,409,409,0,409,409,409,409,409,409,0
3142,129,129,129,129,129,13,129,129,129,129,0,129,129,129,129,129,129,0
3144,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3145,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3148,33,33,33,33,33,0,33,33,33,33,0,33,33,33,33,33,33,0
3149,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,0
3153,60,60,60,60,60,29,60,60,60,60,0,60,60,60,60,60,60,0
3155,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3158,12,12,12,12,12,0,12,12,12,12,0,12,12,12,12,12,12,0
3159,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3162,3,3,3,3,3,0,3,3,3,3,0,3,3,3,3,3,3,0
3165,3,3,3,3,3,0,3,3,3,3,0,3,3,3,3,3,3,0
3166,806,806,806,806,806,10,806,806,806,806,0,806,806,806,806,806,806,0
3167,29,29,29,29,29,0,29,29,29,29,0,29,29,29,29,29,29,0
3168,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3169,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3172,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3175,21,21,21,21,21,0,21,21,21,21,0,21,21,21,21,21,21,0
3176,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0
3178,4,4,4,4,4,0,4,4,4,4,0,4,4,4,4,4,4,0
3181,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3182,3,3,3,3,3,0,3,3,3,3,0,3,3,3,3,3,3,0
3184,237,237,237,237,237,237,237,237,237,237,0,237,237,237,237,237,237,0
3185,4,4,4,4,4,0,4,4,4,4,0,4,4,4,4,4,4,0
3190,7,7,7,7,7,0,7,7,7,7,0,7,7,7,7,7,7,0
3192,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3196,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,0
3197,19,19,19,19,19,0,19,19,19,19,0,19,19,19,19,19,19,0
3199,200,200,200,200,200,200,200,200,200,200,0,200,200,200,200,200,200,0
3200,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0
3201,38,38,38,38,38,38,38,38,38,38,0,38,38,38,38,38,38,0
3203,1366,1366,1366,1366,1366,986,1366,1366,1366,1366,0,1366,1366,1366,1366,1366,1366,0
